,Pair,Count
0,134 - Unexpected shutdown;550 - Degraded gutter clearing at start-up,4
1,134 - Unexpected shutdown;557 - Misaligned jet at start-up,16
2,134 - Unexpected shutdown;138 - Print trigger occurred too early,31
3,134 - Unexpected shutdown;139 - Print Trigger Occurred While Printing,40
4,10 - Print Stretch Detected;134 - Unexpected shutdown,32
5,134 - Unexpected shutdown;213 - Inspection Required,44
6,134 - Unexpected shutdown;52 - Jet modulation has failed,17
7,12 - Charge detection error;134 - Unexpected shutdown,14
8,134 - Unexpected shutdown;142 - Recovered successfully,42
9,550 - Degraded gutter clearing at start-up;557 - Misaligned jet at start-up,11
10,138 - Print trigger occurred too early;550 - Degraded gutter clearing at start-up,3
11,139 - Print Trigger Occurred While Printing;550 - Degraded gutter clearing at start-up,4
12,10 - Print Stretch Detected;550 - Degraded gutter clearing at start-up,3
13,213 - Inspection Required;550 - Degraded gutter clearing at start-up,6
14,52 - Jet modulation has failed;550 - Degraded gutter clearing at start-up,4
15,12 - Charge detection error;550 - Degraded gutter clearing at start-up,8
16,142 - Recovered successfully;550 - Degraded gutter clearing at start-up,9
17,138 - Print trigger occurred too early;557 - Misaligned jet at start-up,11
18,139 - Print Trigger Occurred While Printing;557 - Misaligned jet at start-up,14
19,10 - Print Stretch Detected;557 - Misaligned jet at start-up,12
20,213 - Inspection Required;557 - Misaligned jet at start-up,7
21,52 - Jet modulation has failed;557 - Misaligned jet at start-up,20
22,12 - Charge detection error;557 - Misaligned jet at start-up,21
23,142 - Recovered successfully;557 - Misaligned jet at start-up,26
24,138 - Print trigger occurred too early;139 - Print Trigger Occurred While Printing,62
25,10 - Print Stretch Detected;138 - Print trigger occurred too early,42
26,138 - Print trigger occurred too early;213 - Inspection Required,28
27,138 - Print trigger occurred too early;52 - Jet modulation has failed,15
28,12 - Charge detection error;138 - Print trigger occurred too early,12
29,138 - Print trigger occurred too early;142 - Recovered successfully,53
30,10 - Print Stretch Detected;139 - Print Trigger Occurred While Printing,93
31,139 - Print Trigger Occurred While Printing;213 - Inspection Required,55
32,139 - Print Trigger Occurred While Printing;52 - Jet modulation has failed,24
33,12 - Charge detection error;139 - Print Trigger Occurred While Printing,20
34,139 - Print Trigger Occurred While Printing;142 - Recovered successfully,55
35,10 - Print Stretch Detected;213 - Inspection Required,26
36,10 - Print Stretch Detected;52 - Jet modulation has failed,20
37,10 - Print Stretch Detected;12 - Charge detection error,25
38,10 - Print Stretch Detected;142 - Recovered successfully,56
39,213 - Inspection Required;52 - Jet modulation has failed,17
40,12 - Charge detection error;213 - Inspection Required,18
41,142 - Recovered successfully;213 - Inspection Required,41
